 Time (GMT), Time (LCT at India Standard Time),Reservoir Level (m msl),Reservoir Capacity  (mcm),Reservoir Area(KM2),Spillway DISCHARGE (M3/S)
46:07.0, 24-Oct-2022 15:16:07.000,436.8999939,695.2000122,23.70000076,0
50:00.0, 24-Oct-2022 15:20:00.000,436.9119873,695.3439941,23.70000076,0
00:00.0, 24-Oct-2022 15:30:00.000,436.9179993,695.632019,23.70000076,0
10:00.0, 24-Oct-2022 15:40:00.000,436.9179993,695.632019,23.70000076,0
20:00.0, 24-Oct-2022 15:50:00.000,436.9179993,695.632019,23.70000076,0
30:00.0, 24-Oct-2022 16:00:00.000,436.9249878,696.0880127,23.70999908,0
40:00.0, 24-Oct-2022 16:10:00.000,436.9500122,696.0880127,23.70999908,0
50:00.0, 24-Oct-2022 16:20:00.000,436.9429932,696.4000244,23.71999931,0
00:00.0, 24-Oct-2022 16:30:00.000,436.9500122,696.4000244,23.71999931,0
10:00.0, 24-Oct-2022 16:40:00.000,436.9559937,696.5440063,23.71999931,0
20:00.0, 24-Oct-2022 16:50:00.000,436.9620056,696.5440063,23.71999931,0
30:00.0, 24-Oct-2022 17:00:00.000,436.9679871,696.8319702,23.72999954,0
40:00.0, 24-Oct-2022 17:10:00.000,436.9750061,696.8319702,23.72999954,0
50:00.0, 24-Oct-2022 17:20:00.000,436.9809875,697.1439819,23.73999977,0
00:00.0, 24-Oct-2022 17:30:00.000,436.9809875,697.1439819,23.73999977,0
10:00.0, 24-Oct-2022 17:40:00.000,436.9809875,697.1439819,23.73999977,0
20:00.0, 24-Oct-2022 17:50:00.000,436.9930115,697.4320068,23.73999977,0
30:00.0, 24-Oct-2022 18:00:00.000,436.9869995,697.5999756,23.75,0
40:00.0, 24-Oct-2022 18:10:00.000,437,697.5999756,23.75,0
50:00.0, 24-Oct-2022 18:20:00.000,437.0020142,697.6240234,23.75,0
00:00.0, 24-Oct-2022 18:30:00.000,437.006012,697.7440186,23.75,0
10:00.0, 24-Oct-2022 18:40:00.000,437.0119934,697.8880005,23.75,0
20:00.0, 24-Oct-2022 18:50:00.000,437.0169983,697.9840088,23.75,0
30:00.0, 24-Oct-2022 19:00:00.000,437.019989,698.0800171,23.76000023,0
40:00.0, 24-Oct-2022 19:10:00.000,437.0249939,698.2000122,23.76000023,0
50:00.0, 24-Oct-2022 19:20:00.000,437.0299988,698.3200073,23.76000023,0
00:00.0, 24-Oct-2022 19:30:00.000,437.0339966,698.4160156,23.76000023,0
10:00.0, 24-Oct-2022 19:40:00.000,437.0390015,698.5360107,23.76000023,0
20:00.0, 24-Oct-2022 19:50:00.000,437.0440063,698.6560059,23.77000046,0
